erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.
bestürzen	(to) dismay	Harry sah sie bestürzt an.
spuren	(to) feel	Harry spürte seinen ganzen Körper taub werden.
taub	deaf	Harry spürte seinen ganzen Körper taub werden.
die Enttäuschung	disappointment	Die Enttäuschung, die in Dumbledores Stimme lag, gefiel Harry überhaupt nicht.
die Schwindel (pl.)	fake	Daß Dumbledore diesen Schwindel sofort durchschauen würde, war ihm klar, doch Dumbledore wollte nichts weiter über den Wagen wissen.
einschärfen	(to) imprint	»Doch ich muß Ihnen nachdrücklich einschärfen, daß Ihr Handeln ein schwerer Fehler war.
absagen	(to) cancel	Snape sah aus, als wäre Weihnachten abgesagt worden.
die Vorschrift	instruction	Er räusperte sich und sagte:»Professor Dumbledore, diese Jungen haben die Vorschriften zur Einschränkung der Zauberei Minderjähriger gebrochen und einen wertvollen alten Baum schwer beschädigt« gewiß müssen derlei Taten«– »Es ist Sache von Professor McGonagall, über die Strafen für die Jungen zu befinden, Severus«, sagte Dumbledore gelassen.
beschädigen	damage	Er räusperte sich und sagte:»Professor Dumbledore, diese Jungen haben die Vorschriften zur Einschränkung der Zauberei Minderjähriger gebrochen und einen wertvollen alten Baum schwer beschädigt« gewiß müssen derlei Taten«– »Es ist Sache von Professor McGonagall, über die Strafen für die Jungen zu befinden, Severus«, sagte Dumbledore gelassen.
die Obhut	care	»Sie gehören zu ihrem Haus und stehen daher in ihrer Obhut.
versetzen	(to) displace	Professor McGonagall versetzte ihm einen durchdringenden Blick, doch er war sich sicher, den Anflug eines Lächelns zu erkennen. jedenfalls sah ihr Mund nicht mehr ganz so schmal aus.
die Achseln (pl.)	shoulders	Harry zuckte die Achseln.
zerren	(to) drag	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.
feixen	smirk	Und hinter den sechs stämmigen Gestalten vor ihnen kam ein siebter, kleinerer Junge zum Vorschein, über das ganze bleiche, spitze Gesicht feixend.
das Gebüsch	bushes	»Schnell, da rüber«, zischte Harry und zerrte Ron hinter ein nahes Gebüsch.
leibhaftig	in person	Harry zupfte seinen Umhang zurecht und suchte sich einen Platz ganz hinten, wo er sich damit beschäftigte, alle sieben Bücher von Lockhart vor sich aufzustapeln, so daß er den leibhaftigen Lockhart nicht anzusehen brauchte.
hauchzart	extremely delicate	Gilderoy Lockhart kam herausgeschritten, heute in einem hauchzart malvenfarben getönten Umhang.
das Eingeweide	guts	Seine Eingeweide brannten vor Schuldgefühlen.
füttern	(to) feed	Wenn davon auch nur ein Wort wahr ist, futtere ich meinen Kessel auf.«
aufschlitzen	(to) slit open	Wenn du den halben Kopf aufgeschlitzt kriegst, macht dich das noch lange nicht zu was Besonderem, wenn du mich fragst.«
die Raupe	caterpillar	Wood zückte seinen Zauberstab, tippte auf die Tafel, und die Pfeile begannen über den Plan zu krabbeln wie Raupen.
ehrfurchtsvoll	reverent	»Und du bist der Sucher von Gryffindor, nicht?«, sagte Colin ehrfurchtsvoll. »ja«, sagte Harry, als sie aus dem Schloßtor gingen und sich auf den Weg über den taugetränkten Rasen machten.
zwinkern	(to) wink	»Er zwinkerte Harry kumpelhaft zu und schritt davon.
kullern	(to) roll	Ein heftiges Würgen, und noch mehr Schnecken kullerten Ron den Bauch hinunter.
ekelhaft	disgusting	Ich will doch keine ekelhafte Narbe quer über mein Gesicht haben, nein danke.
der Schwamm	sponge	Sein Hirn fühlte sich wie ein ausgedrückter Schwamm an.
kumpelhaft	matey	»Er zwinkerte Harry kumpelhaft zu und schritt davon.
die Beule	dent, bump	Am Freitagmorgen übertraf er sich selbst: Pfeilschnell schoß er aus Rons Hand, flog genau zwischen die Augen des kleinen alten Professor Flitwick und hinterließ dort eine große, pulsierende grüne Beule.
der Findling	boulder	Auf dem kleinen Gemüsebeet hinter Hagrids Haus wuchsen ein Dutzend der größten Kürbisse, die Harry je gesehen hatte. jeder war so groß wie ein mächtiger Findling.
die Weide	willow	Professor Sprout trug einen Arm voll Mullbinden, und mit einem erneuten Anflug von Schuldgefühlen erkannte Harry in der Ferne die Peitschende Weide, die nun etliche Zweige in Bandagen hatte.
der Bann	a spell	Er starrte Harry an, als stünde er unter einem Bann.
der Knall	a crack	Ein lauter Knall hallte im Stadion wider, ein grüner Lichtstrahl schoß aus dem falschen Ende von Rons Zauberstab heraus, traf ihn in den Magen und schleuderte ihn in hohem Bogen rücklings ins Gras.
ausrasten	(to) disengage	»Malfoy hat Hermine beschimpft – muß wirklich schlimm gewesen sein, denn alle sind ausgerastet «– »Es war schlimm«, sagte Ron heiser und tauchte bleich und schwitzend über der Tischplatte auf, »Malfoy hat sie &gt;Schlammblut(genannt, Hagrid.«
die Herrschaften (pl.)	ladies &amp; gentlemen	»Um was geht es denn, Herrschaften?
spotten	mock	»Weasley hätte gern eine Autogrammkarte, Potter«, spottete Malfoy, »sie wäre mehr wert als das ganze Haus seiner Familie «– Blitzschnell zog Ron seinen geflickten Zauberstab hervor, doch Hermine schlug Abstecher mit Vampiren knallend zu und flüsterte: »Schau mal, wer da kommt!«
der Auflauf	baked dish	Harry schmeckte sein Auflauf mit Hackfleisch und Kartoffeln nicht so gut, wie er erwartet hatte.
die Fühler (pl.)	feeler	Bei diesen Worten versetzte sie einer dornigen, dunkelroten Pflanze, deren lange Fühler sich still und leise über ihre Schulter gestohlen hatten, einen heftigen Klaps, und die Fühler wichen rasch zurück.
die Missbilligung	disapproval	»Ein Schwellzauber, nehme ich an?«, sagte Hermine, hin-und hergerissen zwischen Mißbilligung und Vergnügen.
der Wichtel	brownie	»Ja«, sagte er mit theatralischer Stimme, »frisch gefangene Wichtel aus Cornwall.«
die Mullbinde	bandage	Professor Sprout trug einen Arm voll Mullbinden, und mit einem erneuten Anflug von Schuldgefühlen erkannte Harry in der Ferne die Peitschende Weide, die nun etliche Zweige in Bandagen hatte.
gehässig	spiteful	Und was die alten Sauberwischs angeht«- gehässig lächelte er Fred und George an, die ihre Sauberwischs Fünf in Händen hielten -»damit könnt ihr die Tafel wischen.«
das Würgen	choking	Ein heftiges Würgen, und noch mehr Schnecken kullerten Ron den Bauch hinunter.
untersetzt	lumpish, stocky	Professor Sprout war eine untersetzte kleine Hexe mit einem Flickenhut auf ihrem windzerzausten Haar; meist hatte sie eine ganze Menge Erde auf den Kleidern, und beim Anblick ihrer Fingernägel wäre Tante Petunia in Ohnmacht gefallen.
türkisfarben	turquoise	Tadellos gekleidet war dagegen Gilderoy Lockhart mit seinem wehenden türkisfarbenen Umhang.
zustande bringen	bring about, achieve	Sie zeigte ihnen eine Hand voll Mantelknöpfe, die sie in Verwandlung zustande gebracht hatte.
frösteln	feel chilly	»Von den andern Mannschaften hat noch keine mit dem Training angefangen, dieses Jahr sind wir die Ersten in den Startlöchern «– Gähnend und ein wenig fröstelnd stieg Harry aus dem Bett und machte sich auf die Suche nach seinem Quidditch-Umhang.
sausen	whiz	Mit vollem Karacho sauste er um das Stadion und jagte Fred und George hinterher.
löchern	(to) bombard, bother	Doch Colin hörte nicht auf, Harry den ganzen Weg über den Rasen hinunter zum Quidditch-Feld mit Fragen zu löchern, und Harry konnte ihn erst abschütteln, als sie die Umkleidekabinen erreicht hatten.
der Ansturm	onslaught	»Oh, sieh mal«, sagte Flint, »was für ein Ansturm.«
emsig	industrious	»Schon wenn man in Form ist, ist das ein schwieriger Fluch, aber mit einem zerbrochenen Zauberstab «– Hagrid war emsig damit beschäftigt, ihnen Tee zu kochen.
der Schraubstock	vice	Harry, wie mit einem Schraubstock an Lockhart gepreßt, sah Malfoy mit spöttischem Blick in der Menge verschwinden.
ein Hühnchen rupfen	to discuss something	»Harry«, sagte Hagrid, als ob ihm plötzlich etwas eingefallen wäre, »mit dir muß ich noch ein Hühnchen rupfen.
flackern	flicker	Malfoys blasiertes Gesicht begann zu flackern.
unverkennbar	unmistakable	Auf meinen Reisen sind mir nur zufällig einige dieser Exoten begegnet«– »Gewächshaus drei heute, Freunde«, sagte Professor Sprout, die nicht wie sonst immer fröhlich, sondern unverkennbar miesepetrig dreinsah.
verscheuern	sell off	Ihr könntet eure Sauberwischs Fünf verscheuern, vielleicht hat ein Museum Interesse dran.«
der Taugenichts	good-for-nothing	»Ah, da ist ja der kleine Taugenichts!«, sagte er.
blasierte Miene	smug face	»Ich bin der neue Sucher der Slytherins, Weasley«, sagte Malfoy mit blasierter Miene.
räumen	clear [away]	»Hat mich beraten, wie man Wassergeister aus einer Quelle rauskriegt«, brummte Hagrid, dabei räumte er einen halb gerupften Hahn vom geschrubbten Tisch und setzte den Teekessel auf.
partout	at all costs	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.
die Genugtuung	gratification	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.
der Namenszug	signature	Ein paar der Bilder hatte er sogar mit seinem Namenszug versehen.
gönnerhaft	patronizing	Harry wollte gerade den Mund aufmachen, doch Lockhart patschte ihm den Arm auf die Schulter und dröhnte gönnerhaft: »Dumme Frage!
knallrot	bright red	Hermine riß ihm den Stundenplan aus der Hand und wurde knallrot.
strahlen	(to) beam	Prompt flog die Tür auf Lockhart strahlte auf ihn herab.
gemein	coarse	Natürlich hab ich mitgekriegt, daß es wirklich übel war «– »Das ist so ziemlich das Gemeinste, was ihm einfallen konnte«, keuchte Ron und tauchte wieder auf.
heiser	hoarse	»Malfoy hat Hermine beschimpft – muß wirklich schlimm gewesen sein, denn alle sind ausgerastet «– »Es war schlimm«, sagte Ron heiser und tauchte bleich und schwitzend über der Tischplatte auf, »Malfoy hat sie &gt;Schlammblut(genannt, Hagrid.«
das Schimpfwort	insult	»Schlammblut ist ein wirklich schlimmes Schimpfwort für jemanden, der aus einer Muggelfamilie stammt – du weißt ja, mit Eltern, die keine Zauberer sind.
unscheinbar	inconspicuous	Harry, der nicht die geringste Ahnung hatte, was Hermine mit dem»Schrei»der Alraune meinte, fand die Gewächse recht unscheinbar.
zur Neige	to the very tips	Die Kerzen brannten zur Neige und warfen ihr flackerndes Licht über die vielen Gesichter Lockharts, die Harry ansahen.
der Begleiter	companion	Hin und wieder fing er einen Satz auf wie:»Ruhm ist ein tückischer Begleiter, Harry«, oder:»Berühmt sein heißt, ruhmreich zu handeln, merken Sie sich das.«
miesepetrig	in a bad mood	Auf meinen Reisen sind mir nur zufällig einige dieser Exoten begegnet«– »Gewächshaus drei heute, Freunde«, sagte Professor Sprout, die nicht wie sonst immer fröhlich, sondern unverkennbar miesepetrig dreinsah.
das Knochenmark	bone marrow	Es war eine Stimme, eine Stimme, die ihm das Knochenmark gefrieren ließ, eine Stimme, erfüllt von eiskaltem Haß.
das Gedächtnis	memory	Neville war ein rundgesichtiger und unfallträchtiger Junge mit dem schlechtesten Gedächtnis von allen Menschen, die Harry jemals kennen gelernt hatte.
schüchtern	shy	»Hallo, Harry, Ich bin« ich bin Colin Creevey«, sagte er atemlos und machte einen schüchternen Schritt auf ihn zu.
kraxeln	climb	Und Colin kraxelte hinter ihm her.
Los ziehen	to draw a lot	Beide waren fest davon überzeugt, das schlechtere Los gezogen zu haben.
die Grabesstille	deathly silence	Grabesstille machte sich breit.
flauschig	fluffy	Es gab ein Gerangel, weil alle versuchten ein Paar zu bekommen, das nicht rosa und flauschig war.
der Kronleuchter	chandelier	Sie packten Tintenfässer und spritzten damit in der Klasse herum, zerfetzten Bücher und Papiere, rissen Bilder von den Wänden, stülpten den Papierkorb um, packten Taschen und Bücher und warfen sie aus dem zerborstenen Fenster; nach ein paar Minuten nahmen die Schüler unter ihren Tischen Deckung und Neville pendelte vom Kronleuchter an der Decke.
missbilligen	disapprove of	Ihr»Morgen«-Gruß klang ein wenig steif, und Harry spürte, daß sie immer noch die Art und Weise, wie er und Ron nach Hogwarts gelangt waren, missbilligte.
die Flutwelle	tidal wave	Harry und Ron saßen sprachlos da, als wäre eine Flutwelle über sie hinweggegangen.
lästig	tiresome	»Da wär ich mir nicht so sicher!«, sagte Lockhart und fuchtelte lästig mit dem Finger vor Seamus’ Nase herum.
gefrieren	freeze	Es war eine Stimme, eine Stimme, die ihm das Knochenmark gefrieren ließ, eine Stimme, erfüllt von eiskaltem Haß.
der Dämmerschlaf	half-sleep	»So«, sagte Wood endlich und riß Harry aus einem wohligen Dämmerschlaf, in dem er sich vorstellte, was er in diesem Augenblick oben im Schloß zum Frühstück verspeisen könnte.
ohrfeigen	slaps in the face	Ich hätte mich ohrfeigen können.«
erstaunlicherweise	astonishingly	Erstaunlicherweise konnte er jeden einzelnen seiner blitzenden Zähne zeigen, selbst wenn er nicht sprach.
bedrückt	depressed	»Ich glaube, wir können nichts tun außer abwarten, bis es aufhört«, sagte Hermine bedrückt, während sich Ron über die Wanne beugte.
zerfetzen	rip to pieces	»Komm« komm zu mir« laß mich dich zerreißen« laß mich dich zerfetzen« laß mich dich töten«– Harry fiel fast vom Stuhl und ein großer lila Fleck breitete sich auf Veronica Smethleys Straße aus.
flehentlich	pleadingly	Und es wär echt gut, wenn ich eins von dir hätte -»er sah Harry flehentlich bittend an«- vielleicht könnte dein Freund es schießen und ich stelle mich neben dich?
verkrümeln	slip off	Colin fummelte an seiner Kamera und schoß das Bild in dem Augenblick, als die Glocke hinter ihnen läutete und zum Nachmittagsunterricht rief »So, die Herrschaften, verkrümelt euch«, rief Lockhart den Umstehenden zu und ging mit Harry, den er immer noch an sich gepreßt hatte, auf das Schloßtor zu.
schalkhaft	roguish	Er zwinkerte ihnen erneut schalkhaft zu.
der Rülpser	belch	Stattdessen gab er einen dröhnenden Rülpser von sich, und ein Dutzend Schnecken kullerten ihm aus dem Mund in den Schoß.
krümmen	bend	Die Slytherins krümmten sich vor Lachen.
schnattern	(to) chatter	Tatsächlich hatte sich Harry gerade über seinen Haferbrei hergemacht, als auch schon ein Rauschen über ihren Köpfen zu hören war und gut hundert Eulen hereinströmten, in der Halle kreisten und Briefe und Päckchen in die schnatternde Schülerschar fallen ließen.
durchtrieben	crafty	Mit trollhaft durchtriebener Miene antwortete er:»Ist doch Platz genug für uns alle da, Wood.«
der Geschmack	taste	»Hab Sie auf den Geschmack gebracht, was öffentliches Aufsehen angeht, nicht wahr?«, sagte Lockhart.
redselig	talkative	Es war, als hätte er einen äußerst redseligen Schatten.
die Last	burden	Die vier langen Haustische unter der magischen Decke (heute in wolkig trübem Grau) ächzten unter ihrer Last aus Schüsseln mit Haferbrei, Platten voll geräuchertem Hering, Tellern mit Eiern und Schinken und Bergen von Toastbrot.
bergab	downhill	Vom Frühstück in der Großen Halle an ging es bergab.
der Waffenrock	tunic	Er trug einen eleganten Federhut auf dem langen Lockenhaar und einen Waffenrock mit Halskrause, so daß man nicht sehen konnte, daß sein Hals fast ganz durchtrennt war.
das Aufsehen	sensation	»Hab Sie auf den Geschmack gebracht, was öffentliches Aufsehen angeht, nicht wahr?«, sagte Lockhart.
der Dampf	steam	Er war blaß wie Dampf und Harry sah durch ihn hindurch nach draußen auf den dunklen Himmel und die Sintflut, die sich aus ihm ergoß.
flankieren	flank	Er hatte sich direkt hinter Colin gestellt, flankiert, wie immer in Hogwarts, von seinen grobschlächtigen und brutalen Spießgesellen Crabbe und Goyle.
die Sintflut	the Flood	Er war blaß wie Dampf und Harry sah durch ihn hindurch nach draußen auf den dunklen Himmel und die Sintflut, die sich aus ihm ergoß.
heimtückisch	malicious	Es ist meine Aufgabe, euch gegen die heimtückischsten Geschöpfe zu wappnen, die die Zaubererwelt kennt!
die Angelegenheit	matter	»Sie ebenfalls«, sagte Harry; »Ah«, sagte der Fast Kopflose Nick mit eleganter Handbewegung, »eine Angelegenheit ohne Bedeutung« nicht, daß ich wirklich Mitglied werden wollte« dachte, ich bewerbe mich mal, doch offenbar genüge ich &gt;nicht den Anforderungen&lt;.«
schneiden	(to) cut	Laut und schneidend hallte Draco Malfoys Stimme im ganzen Hof wider.
das Mitglied	member	»Sie ebenfalls«, sagte Harry; »Ah«, sagte der Fast Kopflose Nick mit eleganter Handbewegung, »eine Angelegenheit ohne Bedeutung« nicht, daß ich wirklich Mitglied werden wollte« dachte, ich bewerbe mich mal, doch offenbar genüge ich &gt;nicht den Anforderungen&lt;.«
der Schnupfen	the sniffles	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.
der Schlamm	mud	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.
triefen	drip	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.
die Abschreckung	discouragement	»Dreck«, murmelte er zornig, »große, glühend heiße Drachenpopel« Froschgehirne« Ratteninnereien« mir reicht’s« Strafe zur Abschreckung« wo ist das Formblatt« da«– Er hatte eine dicke Rolle Pergament aus der Schreibtischschublade gezogen und sie vor sich ausgebreitet und tunkte nun den langen schwarzen Federkiel in das Tintenfaß.
der Dunstschleier	veil of haze	Die Slytherins jagten durch die Luft wie Senkrechtstarter, so berichteten sie, und seien nur noch als sieben grünliche Dunstschleier auszumachen.
senkrecht	vertical	Die Slytherins jagten durch die Luft wie Senkrechtstarter, so berichteten sie, und seien nur noch als sieben grünliche Dunstschleier auszumachen.
Vergünstigung	privilege, benefit	»Es wäre angeraten, ihm gewisse Vergünstigungen zu entziehen, bis er bereit ist, uns die ganze Geschichte zu erzählen.
zuverlässig	reliable	»Zuverlässige historische Quellen sagen uns jedenfalls so viel«, sagte er.
beiläufig	casual	»Hallo, Colin«, sagte Harry beiläufig.
überwuchern	(to) overgrow	»Doch diese klaren Tatsachen werden überwuchert durch die phantasiereiche Legende von der Kammer des Schreckens.
unschuldig	innocent	»Unschuldig bis zum Beweis der Schuld, Severus«, sagte er entschieden.
grantig	bad-tempered	»Ich kann da nicht rein«, sagte Ron grantig.
halblang	mid-length	»Nun mal halblang, Severus«, sagte Professor McGonagall scharf, »ich sehe keinen Grund, dem Jungen das Quidditch zu verbieten.
teigig	doughy	»Dafür wäre schwarze Magie der fortgeschrittensten «– »Er hat’s getan, er hat’s getan«, keifte Filch, und sein teigiges Gesicht lief purpurrot an.
rauschen	rush	Im Nu rauschte er an Harry, Ron und Hermine vorbei und holte Mrs Norris vom Fackelhalter.
die Alraune	mandrake	»Meine Katze ist versteinert worden!«, kreischte er mit hüpfenden Augenbällen, »ich will eine Bestrafung sehen« »Wir werden sie heilen können, Argus«, sagte Dumbledore geduldig, »Madam Sprout ist es kürzlich gelungen, einige Alraunen zu züchten.
zufolge	according to	Dieser zufolge hat Slytherin eine Geheimkammer in das Schloß eingebaut, von der die anderen Gründer nichts wußten.
der Beweis	prove	Es gibt keinerlei Beweise dafür, daß Potter etwas Unrechtes getan hat.«
röntgen	X-ray	Seine blinkenden hellblauen Augen gaben Harry das Gefühl, geröntgt zu werden.
prüfen	test	Dumbledore sah Harry prüfend an.
das Bewusstsein	awareness	»Ich habe Mrs Norris nicht einmal angefasst!«, sagte Harry laut und im Bewusstsein, daß ihn alle ansahen, auch alle Lockharts an den Wänden.
starren	stare	Mit einem Funkeln in den kalten Augen, das sonst blutleere Gesicht gerötet, grinste er beim Anblick der starren Katze.
der Klecks	blot	Als er gedankenverloren nach seinem Zauberstab griff, um die Kleckse zu entfernen, fing das Pergament Feuer.
gequält	tormented	Er hat – in meinem Büro – er weiß, daß ich ein – ich ein -»in Filchs Gesicht trat etwas fürchterlich Gequältes, »er weiß, daß ich ein Squib bin«, stieß er hervor.
versiegeln	seal	Und die Legende sagt weiter, daß Slytherin diese Kammer versiegelt hat, so daß keiner sie öffnen kann, bis sein eigener wahrer Erbe zur Schule kommt.
ungehalten	annoyed	Professor Binns sah ein wenig ungehalten aus.
das Kinn	chin	Die Maulende Myrte schwebte über der Kloschüssel und drückte an einem Pickel auf ihrem Kinn herum.
umstehen	(to) stand round	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.
das Maßband	measure band	»Wo ist sie?«, fragte Harry, griff sich das Maßband und entrollte seine eigene Hausarbeit.
beflissen	keen	Beflissen trat Lockhart vor.
furchteinflößend	frightening	Aber ich würde meinen – schaut euch den Kerl doch mal an «– »Ich denke«, sagte Harry rasch auf einen bedeutungsvollen Blick von Nick hin, »Nick ist sehr – furchteinflößend und – ähm «– »Ha!«, rief Sir Patricks Kopf, »wette, er hat Sie gebeten, das zu sagen!«
blühend	flourishing	»Die ganze Geschichte ist natürlich blühender Unsinn«, sagte er.
die Vorahnung	foreboding	»Wenn ich etwas dazu sagen darf, Direktor«, sagte Snape aus dem Schatten heraus, und Harrys ungute Vorahnung verstärkte sich; gewiß würde Snape nichts zu sagen haben, was ihm helfen könnte.
der Unterkiefer	lower jaw	Dean Thomas, der mit herabhängendem Unterkiefer dagesessen und aus dem Fenster gestarrt hatte, schreckte aus seiner Trance; Lavender Brown riß den Kopf von ihren Armen und Nevilles Ellbogen rutschte vom Tisch.
unangenehm	unpleasant	Die Stimmung war unangenehm gespannt, denn alle sahen ihn an und warteten auf mehr.
verdutzt	taken aback	Professor Binns, inmitten eines sterbenslangweiligen Vortrags über die Internationale Zaubererversammlung von 1289, schaute verdutzt auf.
der Schrecken	fright	Der Erbe allein soll in der Lage sein, die Kammer des Schreckens zu entsiegeln, den Schrecken im Innern zu entfesseln und mit seiner Hilfe die Schule von all jenen zu säubern, die es nicht wert seien, Zauberei zu studieren.«
verdächtigen	suspect	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.
trübe	cloudy	Der Boden war feucht und spiegelte trübe das Licht einiger Kerzenstummel wider, die in ihren Haltern ausbrannten; von den zerkratzten Holztüren der Kabinen schälte sich die Farbe ab und eine hing in den Angeln.
der Pickel	pimple	Die Maulende Myrte schwebte über der Kloschüssel und drückte an einem Pickel auf ihrem Kinn herum.
erben	heirs	FEINDE DES ERBEN, NEHMT EUCH IN ACHT »Was hängt – dadrunter?«, fragte Ron mit leichtem Zittern in der Stimme.
kräuseln	(to) frizz	»Potter und seine Freunde waren vielleicht nur zur falschen Zeit am falschen Ort«, sagte er, und seine Lippen kräuselten sich in einem Anflug von Häme, als ob er dies bezweifelte, »aber wir haben hier eine Reihe von verdächtigen Umständen.
die Wasserlache	puddle [of water]	Harry rutschte beinahe aus – auf dem Boden war eine große Wasserlache; Ron und Hermine hielten ihn fest und gemeinsam näherten sie sich der Schrift an der Wand, die Augen auf den dunklen Schatten darunter gerichtet.
lauten	lutes	»Ich brauch doch nur noch sechs Zentimeter, nun komm schon «– Es läutete.
hanebüchen	outrageous	Ich bereue es, Ihnen eine so hanebüchene Legende erzählt zu haben!
Reißaus	heels	Harry erzählte Ron, daß Justin Finch-Fletchley vor ihm Reißaus genommen habe.
bloke	(to) bleat	»Der müßte schon ziemlich blöde sein.«
empfinden (für jmdm)	(to) to feel for someone	Sosehr er Filch verabscheute, Harry konnte nicht anders, er empfand ein wenig Mitleid für ihn, wenn auch nicht so viel wie für sich selbst.
unheimlich	terrifically	»Aber, du mußt zugeben, es ist unheimlich«– »Ich weiß, es ist unheimlich«, sagte Harry.
reißerisch	sensational	»Allerdings ist die Legende, von der Sie sprechen, eine derart reißerische, geradezu lächerliche Geschichte «– Doch nun hing die ganze Klasse an Professor Binns’ Lippen.
erbost	infuriate	»Das hab ich auch Ginny gesagt«, sagte Percy erbost, »aber sie denkt offenbar immer noch, daß ihr von der Schule fliegt, ich hab sie nie so aufgeregt gesehen, sie heult sich die Augen aus, denk doch mal an sie, alle Erstkläßler sind wegen dieser ganzen Geschichte völlig aus dem Häuschen «– »Dir ist Ginny doch egal«, sagte Ron, und die Ohren liefen ihm jetzt rot an.
trocken	dry	
fähig	able	Er war auf einem Stuhl neben dem Schreibtisch zusammengesunken, das Gesicht in den Händen vergraben und nicht fähig, einen Blick auf Mrs Norris zu werfen.
Abschaum	scum	»Überlegen wir mal«, sagte Ron mit gespielter Ratlosigkeit, »wer, den wir kennen, denkt, Muggelkinder seien Abschaum?«
zypriotisch	Cypriot	»Er räusperte sich, was sich anhörte wie zerbrechende Kreide, und fuhr fort:»im September jenes Jahres hat ein Unterausschuss zyprischer Zauberer «– Er verhaspelte sich und brach ab.
Bücke	stoop	Harry, Ron und Hermine tauschten gespannte Bücke und setzten sich auf Stühle außerhalb des Kerzenscheins.
Weise	show	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.
Auslassung	omission	Ich kenne nämlich den Gegenfluch, der sie gerettet hätte«– Während Lockharts Auslassungen waren immer wieder Filchs trockene, markerschütternde Schluchzer zu hören.
wachsam	watchful	Hinter ihnen im Halbschatten stand Snape, wachsam und mit einem höchst merkwürdigen Gesichtsausdruck: als ob er angestrengt versuchte nicht zu lächeln.
achselzuckend	shrugging	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.
eifrig	eager	Ehrlich gesagt, wenn der Sprechende Hut versucht hätte, mich nach Slytherin zu stecken, hätte ich gleich wieder den Zug nach Hause genommen«– Hermine nickte eifrig, doch Harry sagte kein Wort.
Angriff	attack	Ein paar Tage lang sprachen sie in der Schule von nichts anderem als vom Angriff auf Mrs Norris.
schwellen	thresholds	»Haben uns nur ein wenig umgesehen«, meinte Ron achselzuckend, »Spuren, weißt du «– Percy schwoll auf eine Weise an, die Harry stark an Mrs Weasley erinnerte.
Zipfel	corner	Es gibt rächt den Zipfel eines Beweises, daß Slytherin auch nur einen geheimen Besenschrank gebaut hat!
rächen	avenge	Es gibt rächt den Zipfel eines Beweises, daß Slytherin auch nur einen geheimen Besenschrank gebaut hat!
ausstopfen	(to) stuff	Dumbledore murmelte jetzt seltsame Worte vor sich hin und tippte Mrs Norris mit seinem Zauberstab an, doch nichts passierte: sie sah weiterhin aus, als wäre sie gerade ausgestopft worden. »– ich kann mich an einen ganz ähnlichen Vorfall in Ouagadogou erinnern«, sagte Lockhart, »eine Serie von Attacken, nachzulesen in meiner Autobiographie; ich konnte die Dorfbevölkerung mit verschiedenen Amuletten ausstatten, und die Sache war sofort erledigt«– Die Lockharts an den Wänden nickten allesamt zustimmend.
Kreide	chalk	»Er räusperte sich, was sich anhörte wie zerbrechende Kreide, und fuhr fort:»im September jenes Jahres hat ein Unterausschuss zyprischer Zauberer «– Er verhaspelte sich und brach ab.
