erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.	[sound:erbärmlich.ogg.mp3]
das Steuer	steering wheel	»Na komm schon«, flehte Ron und rüttelte ein wenig am Steuer, »wir sind doch fast da, los «– Der Motor stöhnte auf.	[sound:das Steuer.ogg.mp3]
das Sehnen	tendons	Er war durchgeknackst und fast entzweigebrochen; die Spitze hing lahm herab und wurde nur noch von ein paar Sehnen gehalten.	[sound:das Sehnen.ogg.mp3]
schmettern	(to) dash, (to) throw	In genau diesem Moment schlug etwas mit der Kraft eines rasenden Nashorns gegen seine Wagentür und schmetterte ihn gegen Ron, während zugleich ein ebenso heftiger Schlag das Dach traf.	[sound:schmettern.ogg.mp3]
der Ast	branch	»Was ist «– Ron starrte mit offenem Mund durch die Scheibe, und Harry folgte seinem Blick gerade noch rechtzeitig, um zu sehen, wie ein Ast, so dick wie eine Pythonschlange, auf sie einschlug.	[sound:der Ast.ogg.mp3]
der Hagel	hail	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.	[sound:der Hagel.ogg.mp3]
der Rammbock	battering ram	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.	[sound:der Rammbock.ogg.mp3]
der Aufwärtshaken	uppercut	»Aaarh!«, sagte Ron, als ein weiterer Ast sich zurückbog und eine tiefe Delle in die Fahrertür schlug; die Windschutzscheibe zitterte nun unter einem Hagel von Schlägen knöchelartiger Zweiglein, und ein Ast, so dick wie ein Rammbock, hämmerte wild auf das Dach ein, das sich immer tiefer eindellte - »Raus hier, schnell!«, schrie Ron und warf sich mit aller Kraft gegen die Tür, doch schon schleuderte ihn ein teuflischer Aufwärtshaken in Harrys Schoß.	[sound:der Aufwärtshaken.ogg.mp3]
freilich	of course	Der Wagen freilich war nun am Ende seiner Kräfte.	[sound:freilich.ogg.mp3]
spöttisch	mocking	Der grausame, spöttische und bei allen außer bei den Schülern seines eigenen Hauses (Slytherin) unbeliebte Snape unterrichtete Zaubertränke.	[sound:spöttisch.ogg.mp3]
gekündigt	cancelled	»Vielleicht hat er gekündigt«, entgegnete Harry, »weil er wieder nicht Verteidigung gegen die dunklen Künste unterrichten darf!«	[sound:gekündigt.ogg.mp3]
das Einmachglas	preserving jar	An den dunklen Wänden zogen sich Regale voller großer Einmachgläser entlang, in denen alle möglichen widerwärtigen Geschöpfe schwammen, deren Namen Harry im Moment nicht wußte.	[sound:das Einmachglas.ogg.mp3]
das Geschöpf	creature	An den dunklen Wänden zogen sich Regale voller großer Einmachgläser entlang, in denen alle möglichen widerwärtigen Geschöpfe schwammen, deren Namen Harry im Moment nicht wußte.	[sound:das Geschöpf.ogg.mp3]
das Trara	razzmatazz	Wollten hier mit großem Trara ankommen, nicht Wahr, die Herren« »Nein, Sir, die Absperrung in King’s Cross, sie«– »Ruhe«, sagte Snape kühl.	[sound:das Trara.ogg.mp3]
felsenfest	firm	»Zwei Londoner Muggel sind felsenfest überzeugt, daß sie einen alten Wagen über den Turm des Postamtes fliegen sahen« Als Mrs Hetty Bayliss in Norfolk um die Mittagszeit ihre Wäsche aufhängen wollte« Mr Angus Fleet aus Peebles schilderte der Polizei« Sechs bis sieben Muggel insgesamt.	[sound:felsenfest.ogg.mp3]
überzeugt	convinced	»Zwei Londoner Muggel sind felsenfest überzeugt, daß sie einen alten Wagen über den Turm des Postamtes fliegen sahen« Als Mrs Hetty Bayliss in Norfolk um die Mittagszeit ihre Wäsche aufhängen wollte« Mr Angus Fleet aus Peebles schilderte der Polizei« Sechs bis sieben Muggel insgesamt.	[sound:überzeugt.ogg.mp3]
das Bedauern	a regret	»Zu meinem größten Bedauern gehört ihr nicht zu meinem Haus, und die Entscheidung, euch von der Schule zu weisen, ist nicht meine Sache.	[sound:das Bedauern.ogg.mp3]
das Unheil	disaster	»Ich wünsche eine Erklärung«, sagte sie mit Unheil verkündend schimmernden Brillengläsern.	[sound:das Unheil.ogg.mp3]
die Schilderung	description	Ron stürzte sich in die Schilderung ihrer Erlebnisse und begann bei der Absperrung, die sie nicht durchlassen wollte. »– also hatten wir keine Wahl, Professor, wir konnten den Zug nicht erreichen.«	[sound:die Schilderung.ogg.mp3]
das Erlebnis	experience	Ron stürzte sich in die Schilderung ihrer Erlebnisse und begann bei der Absperrung, die sie nicht durchlassen wollte. »– also hatten wir keine Wahl, Professor, wir konnten den Zug nicht erreichen.«	[sound:das Erlebnis.ogg.mp3]
bestürzen	(to) dismay	Harry sah sie bestürzt an.	[sound:bestürzen.ogg.mp3]
spuren	(to) feel	Harry spürte seinen ganzen Körper taub werden.	[sound:spuren.ogg.mp3]
taub	deaf	Harry spürte seinen ganzen Körper taub werden.	[sound:taub.ogg.mp3]
die Enttäuschung	disappointment	Die Enttäuschung, die in Dumbledores Stimme lag, gefiel Harry überhaupt nicht.	[sound:die Enttäuschung.ogg.mp3]
die Schwindel (pl.)	fake	Daß Dumbledore diesen Schwindel sofort durchschauen würde, war ihm klar, doch Dumbledore wollte nichts weiter über den Wagen wissen.	[sound:die Schwindel (pl.).ogg.mp3]
einschärfen	(to) imprint	»Doch ich muß Ihnen nachdrücklich einschärfen, daß Ihr Handeln ein schwerer Fehler war.	[sound:einschärfen.ogg.mp3]
absagen	(to) cancel	Snape sah aus, als wäre Weihnachten abgesagt worden.	[sound:absagen.ogg.mp3]
die Vorschrift	instruction	Er räusperte sich und sagte:»Professor Dumbledore, diese Jungen haben die Vorschriften zur Einschränkung der Zauberei Minderjähriger gebrochen und einen wertvollen alten Baum schwer beschädigt« gewiß müssen derlei Taten«– »Es ist Sache von Professor McGonagall, über die Strafen für die Jungen zu befinden, Severus«, sagte Dumbledore gelassen.	[sound:die Vorschrift.ogg.mp3]
beschädigen	damage	Er räusperte sich und sagte:»Professor Dumbledore, diese Jungen haben die Vorschriften zur Einschränkung der Zauberei Minderjähriger gebrochen und einen wertvollen alten Baum schwer beschädigt« gewiß müssen derlei Taten«– »Es ist Sache von Professor McGonagall, über die Strafen für die Jungen zu befinden, Severus«, sagte Dumbledore gelassen.	[sound:beschädigen.ogg.mp3]
die Obhut	care	»Sie gehören zu ihrem Haus und stehen daher in ihrer Obhut.	[sound:die Obhut.ogg.mp3]
versetzen	(to) displace	Professor McGonagall versetzte ihm einen durchdringenden Blick, doch er war sich sicher, den Anflug eines Lächelns zu erkennen. jedenfalls sah ihr Mund nicht mehr ganz so schmal aus.	[sound:versetzen.ogg.mp3]
die Achseln (pl.)	shoulders	Harry zuckte die Achseln.	[sound:die Achseln (pl.).ogg.mp3]
zerren	(to) drag	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.	[sound:zerren.ogg.mp3]
feixen	smirk	Und hinter den sechs stämmigen Gestalten vor ihnen kam ein siebter, kleinerer Junge zum Vorschein, über das ganze bleiche, spitze Gesicht feixend.	[sound:feixen.ogg.mp3]
das Gebüsch	bushes	»Schnell, da rüber«, zischte Harry und zerrte Ron hinter ein nahes Gebüsch.	[sound:das Gebüsch.ogg.mp3]
leibhaftig	in person	Harry zupfte seinen Umhang zurecht und suchte sich einen Platz ganz hinten, wo er sich damit beschäftigte, alle sieben Bücher von Lockhart vor sich aufzustapeln, so daß er den leibhaftigen Lockhart nicht anzusehen brauchte.	[sound:leibhaftig.ogg.mp3]
hauchzart	extremely delicate	Gilderoy Lockhart kam herausgeschritten, heute in einem hauchzart malvenfarben getönten Umhang.	[sound:hauchzart.ogg.mp3]
das Eingeweide	guts	Seine Eingeweide brannten vor Schuldgefühlen.	[sound:das Eingeweide.ogg.mp3]
füttern	(to) feed	Wenn davon auch nur ein Wort wahr ist, futtere ich meinen Kessel auf.«	[sound:füttern.ogg.mp3]
aufschlitzen	(to) slit open	Wenn du den halben Kopf aufgeschlitzt kriegst, macht dich das noch lange nicht zu was Besonderem, wenn du mich fragst.«	[sound:aufschlitzen.ogg.mp3]
die Raupe	caterpillar	Wood zückte seinen Zauberstab, tippte auf die Tafel, und die Pfeile begannen über den Plan zu krabbeln wie Raupen.	[sound:die Raupe.ogg.mp3]
ehrfurchtsvoll	reverent	»Und du bist der Sucher von Gryffindor, nicht?«, sagte Colin ehrfurchtsvoll. »ja«, sagte Harry, als sie aus dem Schloßtor gingen und sich auf den Weg über den taugetränkten Rasen machten.	[sound:ehrfurchtsvoll.ogg.mp3]
zwinkern	(to) wink	»Er zwinkerte Harry kumpelhaft zu und schritt davon.	[sound:zwinkern.ogg.mp3]
kullern	(to) roll	Ein heftiges Würgen, und noch mehr Schnecken kullerten Ron den Bauch hinunter.	[sound:kullern.ogg.mp3]
ekelhaft	disgusting	Ich will doch keine ekelhafte Narbe quer über mein Gesicht haben, nein danke.	[sound:ekelhaft.ogg.mp3]
der Schwamm	sponge	Sein Hirn fühlte sich wie ein ausgedrückter Schwamm an.	[sound:der Schwamm.ogg.mp3]
kumpelhaft	matey	»Er zwinkerte Harry kumpelhaft zu und schritt davon.	[sound:kumpelhaft.ogg.mp3]
die Beule	dent, bump	Am Freitagmorgen übertraf er sich selbst: Pfeilschnell schoß er aus Rons Hand, flog genau zwischen die Augen des kleinen alten Professor Flitwick und hinterließ dort eine große, pulsierende grüne Beule.	[sound:die Beule.ogg.mp3]
der Findling	boulder	Auf dem kleinen Gemüsebeet hinter Hagrids Haus wuchsen ein Dutzend der größten Kürbisse, die Harry je gesehen hatte. jeder war so groß wie ein mächtiger Findling.	[sound:der Findling.ogg.mp3]
die Weide	willow	Professor Sprout trug einen Arm voll Mullbinden, und mit einem erneuten Anflug von Schuldgefühlen erkannte Harry in der Ferne die Peitschende Weide, die nun etliche Zweige in Bandagen hatte.	[sound:die Weide.ogg.mp3]
der Bann	a spell	Er starrte Harry an, als stünde er unter einem Bann.	[sound:der Bann.ogg.mp3]
der Knall	a crack	Ein lauter Knall hallte im Stadion wider, ein grüner Lichtstrahl schoß aus dem falschen Ende von Rons Zauberstab heraus, traf ihn in den Magen und schleuderte ihn in hohem Bogen rücklings ins Gras.	[sound:der Knall.ogg.mp3]
ausrasten	(to) disengage	»Malfoy hat Hermine beschimpft – muß wirklich schlimm gewesen sein, denn alle sind ausgerastet «– »Es war schlimm«, sagte Ron heiser und tauchte bleich und schwitzend über der Tischplatte auf, »Malfoy hat sie &gt;Schlammblut(genannt, Hagrid.«	[sound:ausrasten.ogg.mp3]
die Herrschaften (pl.)	ladies &amp; gentlemen	»Um was geht es denn, Herrschaften?	[sound:die Herrschaften (pl.).ogg.mp3]
spotten	mock	»Weasley hätte gern eine Autogrammkarte, Potter«, spottete Malfoy, »sie wäre mehr wert als das ganze Haus seiner Familie «– Blitzschnell zog Ron seinen geflickten Zauberstab hervor, doch Hermine schlug Abstecher mit Vampiren knallend zu und flüsterte: »Schau mal, wer da kommt!«	[sound:spotten.ogg.mp3]
der Auflauf	baked dish	Harry schmeckte sein Auflauf mit Hackfleisch und Kartoffeln nicht so gut, wie er erwartet hatte.	[sound:der Auflauf.ogg.mp3]
die Fühler (pl.)	feeler	Bei diesen Worten versetzte sie einer dornigen, dunkelroten Pflanze, deren lange Fühler sich still und leise über ihre Schulter gestohlen hatten, einen heftigen Klaps, und die Fühler wichen rasch zurück.	[sound:die Fühler (pl.).ogg.mp3]
die Missbilligung	disapproval	»Ein Schwellzauber, nehme ich an?«, sagte Hermine, hin-und hergerissen zwischen Mißbilligung und Vergnügen.	[sound:die Missbilligung.ogg.mp3]
der Wichtel	brownie	»Ja«, sagte er mit theatralischer Stimme, »frisch gefangene Wichtel aus Cornwall.«	[sound:der Wichtel.ogg.mp3]
die Mullbinde	bandage	Professor Sprout trug einen Arm voll Mullbinden, und mit einem erneuten Anflug von Schuldgefühlen erkannte Harry in der Ferne die Peitschende Weide, die nun etliche Zweige in Bandagen hatte.	[sound:die Mullbinde.ogg.mp3]
gehässig	spiteful	Und was die alten Sauberwischs angeht«- gehässig lächelte er Fred und George an, die ihre Sauberwischs Fünf in Händen hielten -»damit könnt ihr die Tafel wischen.«	[sound:gehässig.ogg.mp3]
das Würgen	choking	Ein heftiges Würgen, und noch mehr Schnecken kullerten Ron den Bauch hinunter.	[sound:das Würgen.ogg.mp3]
untersetzt	lumpish, stocky	Professor Sprout war eine untersetzte kleine Hexe mit einem Flickenhut auf ihrem windzerzausten Haar; meist hatte sie eine ganze Menge Erde auf den Kleidern, und beim Anblick ihrer Fingernägel wäre Tante Petunia in Ohnmacht gefallen.	[sound:untersetzt.ogg.mp3]
türkisfarben	turquoise	Tadellos gekleidet war dagegen Gilderoy Lockhart mit seinem wehenden türkisfarbenen Umhang.	[sound:türkisfarben.ogg.mp3]
zustande bringen	bring about, achieve	Sie zeigte ihnen eine Hand voll Mantelknöpfe, die sie in Verwandlung zustande gebracht hatte.	[sound:zustande bringen.ogg.mp3]
frösteln	feel chilly	»Von den andern Mannschaften hat noch keine mit dem Training angefangen, dieses Jahr sind wir die Ersten in den Startlöchern «– Gähnend und ein wenig fröstelnd stieg Harry aus dem Bett und machte sich auf die Suche nach seinem Quidditch-Umhang.	[sound:frösteln.ogg.mp3]
sausen	whiz	Mit vollem Karacho sauste er um das Stadion und jagte Fred und George hinterher.	[sound:sausen.ogg.mp3]
löchern	(to) bombard, bother	Doch Colin hörte nicht auf, Harry den ganzen Weg über den Rasen hinunter zum Quidditch-Feld mit Fragen zu löchern, und Harry konnte ihn erst abschütteln, als sie die Umkleidekabinen erreicht hatten.	[sound:löchern.ogg.mp3]
der Ansturm	onslaught	»Oh, sieh mal«, sagte Flint, »was für ein Ansturm.«	[sound:der Ansturm.ogg.mp3]
emsig	industrious	»Schon wenn man in Form ist, ist das ein schwieriger Fluch, aber mit einem zerbrochenen Zauberstab «– Hagrid war emsig damit beschäftigt, ihnen Tee zu kochen.	[sound:emsig.ogg.mp3]
der Schraubstock	vice	Harry, wie mit einem Schraubstock an Lockhart gepreßt, sah Malfoy mit spöttischem Blick in der Menge verschwinden.	[sound:der Schraubstock.ogg.mp3]
ein Hühnchen rupfen	to discuss something	»Harry«, sagte Hagrid, als ob ihm plötzlich etwas eingefallen wäre, »mit dir muß ich noch ein Hühnchen rupfen.	[sound:ein Hühnchen rupfen.ogg.mp3]
flackern	flicker	Malfoys blasiertes Gesicht begann zu flackern.	[sound:flackern.ogg.mp3]
unverkennbar	unmistakable	Auf meinen Reisen sind mir nur zufällig einige dieser Exoten begegnet«– »Gewächshaus drei heute, Freunde«, sagte Professor Sprout, die nicht wie sonst immer fröhlich, sondern unverkennbar miesepetrig dreinsah.	[sound:unverkennbar.ogg.mp3]
verscheuern	sell off	Ihr könntet eure Sauberwischs Fünf verscheuern, vielleicht hat ein Museum Interesse dran.«	[sound:verscheuern.ogg.mp3]
der Taugenichts	good-for-nothing	»Ah, da ist ja der kleine Taugenichts!«, sagte er.	[sound:der Taugenichts.ogg.mp3]
blasierte Miene	smug face	»Ich bin der neue Sucher der Slytherins, Weasley«, sagte Malfoy mit blasierter Miene.	[sound:blasierte Miene.ogg.mp3]
räumen	clear [away]	»Hat mich beraten, wie man Wassergeister aus einer Quelle rauskriegt«, brummte Hagrid, dabei räumte er einen halb gerupften Hahn vom geschrubbten Tisch und setzte den Teekessel auf.	[sound:räumen.ogg.mp3]
partout	at all costs	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.	[sound:partout.ogg.mp3]
die Genugtuung	gratification	Mit Genugtuung stellte er fest, daß sein Foto-Ich es Lockhart mehr als schwer machte und sich partout nicht ins Blickfeld zerren ließ.	[sound:die Genugtuung.ogg.mp3]
der Namenszug	signature	Ein paar der Bilder hatte er sogar mit seinem Namenszug versehen.	[sound:der Namenszug.ogg.mp3]
gönnerhaft	patronizing	Harry wollte gerade den Mund aufmachen, doch Lockhart patschte ihm den Arm auf die Schulter und dröhnte gönnerhaft: »Dumme Frage!	[sound:gönnerhaft.ogg.mp3]
knallrot	bright red	Hermine riß ihm den Stundenplan aus der Hand und wurde knallrot.	[sound:knallrot.ogg.mp3]
strahlen	(to) beam	Prompt flog die Tür auf Lockhart strahlte auf ihn herab.	[sound:strahlen.ogg.mp3]
gemein	coarse	Natürlich hab ich mitgekriegt, daß es wirklich übel war «– »Das ist so ziemlich das Gemeinste, was ihm einfallen konnte«, keuchte Ron und tauchte wieder auf.	[sound:gemein.ogg.mp3]
heiser	hoarse	»Malfoy hat Hermine beschimpft – muß wirklich schlimm gewesen sein, denn alle sind ausgerastet «– »Es war schlimm«, sagte Ron heiser und tauchte bleich und schwitzend über der Tischplatte auf, »Malfoy hat sie &gt;Schlammblut(genannt, Hagrid.«	[sound:heiser.ogg.mp3]
das Schimpfwort	insult	»Schlammblut ist ein wirklich schlimmes Schimpfwort für jemanden, der aus einer Muggelfamilie stammt – du weißt ja, mit Eltern, die keine Zauberer sind.	[sound:das Schimpfwort.ogg.mp3]
unscheinbar	inconspicuous	Harry, der nicht die geringste Ahnung hatte, was Hermine mit dem»Schrei»der Alraune meinte, fand die Gewächse recht unscheinbar.	[sound:unscheinbar.ogg.mp3]
zur Neige	to the very tips	Die Kerzen brannten zur Neige und warfen ihr flackerndes Licht über die vielen Gesichter Lockharts, die Harry ansahen.	[sound:zur Neige.ogg.mp3]
der Begleiter	companion	Hin und wieder fing er einen Satz auf wie:»Ruhm ist ein tückischer Begleiter, Harry«, oder:»Berühmt sein heißt, ruhmreich zu handeln, merken Sie sich das.«	[sound:der Begleiter.ogg.mp3]
miesepetrig	in a bad mood	Auf meinen Reisen sind mir nur zufällig einige dieser Exoten begegnet«– »Gewächshaus drei heute, Freunde«, sagte Professor Sprout, die nicht wie sonst immer fröhlich, sondern unverkennbar miesepetrig dreinsah.	[sound:miesepetrig.ogg.mp3]
das Knochenmark	bone marrow	Es war eine Stimme, eine Stimme, die ihm das Knochenmark gefrieren ließ, eine Stimme, erfüllt von eiskaltem Haß.	[sound:das Knochenmark.ogg.mp3]
das Gedächtnis	memory	Neville war ein rundgesichtiger und unfallträchtiger Junge mit dem schlechtesten Gedächtnis von allen Menschen, die Harry jemals kennen gelernt hatte.	[sound:das Gedächtnis.ogg.mp3]
schüchtern	shy	»Hallo, Harry, Ich bin« ich bin Colin Creevey«, sagte er atemlos und machte einen schüchternen Schritt auf ihn zu.	[sound:schüchtern.ogg.mp3]
kraxeln	climb	Und Colin kraxelte hinter ihm her.	[sound:kraxeln.ogg.mp3]
Los ziehen	to draw a lot	Beide waren fest davon überzeugt, das schlechtere Los gezogen zu haben.	[sound:Los ziehen.ogg.mp3]
die Grabesstille	deathly silence	Grabesstille machte sich breit.	[sound:die Grabesstille.ogg.mp3]
flauschig	fluffy	Es gab ein Gerangel, weil alle versuchten ein Paar zu bekommen, das nicht rosa und flauschig war.	[sound:flauschig.ogg.mp3]
der Kronleuchter	chandelier	Sie packten Tintenfässer und spritzten damit in der Klasse herum, zerfetzten Bücher und Papiere, rissen Bilder von den Wänden, stülpten den Papierkorb um, packten Taschen und Bücher und warfen sie aus dem zerborstenen Fenster; nach ein paar Minuten nahmen die Schüler unter ihren Tischen Deckung und Neville pendelte vom Kronleuchter an der Decke.	[sound:der Kronleuchter.ogg.mp3]
missbilligen	disapprove of	Ihr»Morgen«-Gruß klang ein wenig steif, und Harry spürte, daß sie immer noch die Art und Weise, wie er und Ron nach Hogwarts gelangt waren, missbilligte.	[sound:missbilligen.ogg.mp3]
die Flutwelle	tidal wave	Harry und Ron saßen sprachlos da, als wäre eine Flutwelle über sie hinweggegangen.	[sound:die Flutwelle.ogg.mp3]
lästig	tiresome	»Da wär ich mir nicht so sicher!«, sagte Lockhart und fuchtelte lästig mit dem Finger vor Seamus’ Nase herum.	[sound:lästig.ogg.mp3]
gefrieren	freeze	Es war eine Stimme, eine Stimme, die ihm das Knochenmark gefrieren ließ, eine Stimme, erfüllt von eiskaltem Haß.	[sound:gefrieren.ogg.mp3]
der Dämmerschlaf	half-sleep	»So«, sagte Wood endlich und riß Harry aus einem wohligen Dämmerschlaf, in dem er sich vorstellte, was er in diesem Augenblick oben im Schloß zum Frühstück verspeisen könnte.	[sound:der Dämmerschlaf.ogg.mp3]
ohrfeigen	slaps in the face	Ich hätte mich ohrfeigen können.«	[sound:ohrfeigen.ogg.mp3]
erstaunlicherweise	astonishingly	Erstaunlicherweise konnte er jeden einzelnen seiner blitzenden Zähne zeigen, selbst wenn er nicht sprach.	[sound:erstaunlicherweise.ogg.mp3]
bedrückt	depressed	»Ich glaube, wir können nichts tun außer abwarten, bis es aufhört«, sagte Hermine bedrückt, während sich Ron über die Wanne beugte.	[sound:bedrückt.ogg.mp3]
zerfetzen	rip to pieces	»Komm« komm zu mir« laß mich dich zerreißen« laß mich dich zerfetzen« laß mich dich töten«– Harry fiel fast vom Stuhl und ein großer lila Fleck breitete sich auf Veronica Smethleys Straße aus.	[sound:zerfetzen.ogg.mp3]
flehentlich	pleadingly	Und es wär echt gut, wenn ich eins von dir hätte -»er sah Harry flehentlich bittend an«- vielleicht könnte dein Freund es schießen und ich stelle mich neben dich?	[sound:flehentlich.ogg.mp3]
verkrümeln	slip off	Colin fummelte an seiner Kamera und schoß das Bild in dem Augenblick, als die Glocke hinter ihnen läutete und zum Nachmittagsunterricht rief »So, die Herrschaften, verkrümelt euch«, rief Lockhart den Umstehenden zu und ging mit Harry, den er immer noch an sich gepreßt hatte, auf das Schloßtor zu.	[sound:verkrümeln.ogg.mp3]
schalkhaft	roguish	Er zwinkerte ihnen erneut schalkhaft zu.	[sound:schalkhaft.ogg.mp3]
der Rülpser	belch	Stattdessen gab er einen dröhnenden Rülpser von sich, und ein Dutzend Schnecken kullerten ihm aus dem Mund in den Schoß.	[sound:der Rülpser.ogg.mp3]
krümmen	bend	Die Slytherins krümmten sich vor Lachen.	[sound:krümmen.ogg.mp3]
schnattern	(to) chatter	Tatsächlich hatte sich Harry gerade über seinen Haferbrei hergemacht, als auch schon ein Rauschen über ihren Köpfen zu hören war und gut hundert Eulen hereinströmten, in der Halle kreisten und Briefe und Päckchen in die schnatternde Schülerschar fallen ließen.	[sound:schnattern.ogg.mp3]
durchtrieben	crafty	Mit trollhaft durchtriebener Miene antwortete er:»Ist doch Platz genug für uns alle da, Wood.«	[sound:durchtrieben.ogg.mp3]
der Geschmack	taste	»Hab Sie auf den Geschmack gebracht, was öffentliches Aufsehen angeht, nicht wahr?«, sagte Lockhart.	[sound:der Geschmack.ogg.mp3]
redselig	talkative	Es war, als hätte er einen äußerst redseligen Schatten.	[sound:redselig.ogg.mp3]
die Last	burden	Die vier langen Haustische unter der magischen Decke (heute in wolkig trübem Grau) ächzten unter ihrer Last aus Schüsseln mit Haferbrei, Platten voll geräuchertem Hering, Tellern mit Eiern und Schinken und Bergen von Toastbrot.	[sound:die Last.ogg.mp3]
bergab	downhill	Vom Frühstück in der Großen Halle an ging es bergab.	[sound:bergab.ogg.mp3]
der Waffenrock	tunic	Er trug einen eleganten Federhut auf dem langen Lockenhaar und einen Waffenrock mit Halskrause, so daß man nicht sehen konnte, daß sein Hals fast ganz durchtrennt war.	[sound:der Waffenrock.ogg.mp3]
das Aufsehen	sensation	»Hab Sie auf den Geschmack gebracht, was öffentliches Aufsehen angeht, nicht wahr?«, sagte Lockhart.	[sound:das Aufsehen.ogg.mp3]
der Dampf	steam	Er war blaß wie Dampf und Harry sah durch ihn hindurch nach draußen auf den dunklen Himmel und die Sintflut, die sich aus ihm ergoß.	[sound:der Dampf.ogg.mp3]
flankieren	flank	Er hatte sich direkt hinter Colin gestellt, flankiert, wie immer in Hogwarts, von seinen grobschlächtigen und brutalen Spießgesellen Crabbe und Goyle.	[sound:flankieren.ogg.mp3]
die Sintflut	the Flood	Er war blaß wie Dampf und Harry sah durch ihn hindurch nach draußen auf den dunklen Himmel und die Sintflut, die sich aus ihm ergoß.	[sound:die Sintflut.ogg.mp3]
heimtückisch	malicious	Es ist meine Aufgabe, euch gegen die heimtückischsten Geschöpfe zu wappnen, die die Zaubererwelt kennt!	[sound:heimtückisch.ogg.mp3]
die Angelegenheit	matter	»Sie ebenfalls«, sagte Harry; »Ah«, sagte der Fast Kopflose Nick mit eleganter Handbewegung, »eine Angelegenheit ohne Bedeutung« nicht, daß ich wirklich Mitglied werden wollte« dachte, ich bewerbe mich mal, doch offenbar genüge ich &gt;nicht den Anforderungen&lt;.«	[sound:die Angelegenheit.ogg.mp3]
schneiden	(to) cut	Laut und schneidend hallte Draco Malfoys Stimme im ganzen Hof wider.	[sound:schneiden.ogg.mp3]
das Mitglied	member	»Sie ebenfalls«, sagte Harry; »Ah«, sagte der Fast Kopflose Nick mit eleganter Handbewegung, »eine Angelegenheit ohne Bedeutung« nicht, daß ich wirklich Mitglied werden wollte« dachte, ich bewerbe mich mal, doch offenbar genüge ich &gt;nicht den Anforderungen&lt;.«	[sound:das Mitglied.ogg.mp3]
der Schnupfen	the sniffles	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.	[sound:der Schnupfen.ogg.mp3]
der Schlamm	mud	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.	[sound:der Schlamm.ogg.mp3]
triefen	drip	»Sie verschwinden gam besten von hier, Harry«, sagte Nick hastig, »Filch hat ganz schlechte Laune – er hat einen Schnupfen, und ein paar Drittkläßler haben in Kerker fünf versehentlich Froschgehirne über die ganze Decke gespritzt, er hat den ganzen Morgen geputzt, und wenn er Sie hier vor Schlamm triefen sieht «– »Stimmt«, sagte Harry und wich vor dem anklagenden Starren von Mrs Norris zurück, doch nicht schnell genug.	[sound:triefen.ogg.mp3]
die Abschreckung	discouragement	»Dreck«, murmelte er zornig, »große, glühend heiße Drachenpopel« Froschgehirne« Ratteninnereien« mir reicht’s« Strafe zur Abschreckung« wo ist das Formblatt« da«– Er hatte eine dicke Rolle Pergament aus der Schreibtischschublade gezogen und sie vor sich ausgebreitet und tunkte nun den langen schwarzen Federkiel in das Tintenfaß.	[sound:die Abschreckung.ogg.mp3]
der Dunstschleier	veil of haze	Die Slytherins jagten durch die Luft wie Senkrechtstarter, so berichteten sie, und seien nur noch als sieben grünliche Dunstschleier auszumachen.	[sound:der Dunstschleier.ogg.mp3]
senkrecht	vertical	Die Slytherins jagten durch die Luft wie Senkrechtstarter, so berichteten sie, und seien nur noch als sieben grünliche Dunstschleier auszumachen.	[sound:senkrecht.ogg.mp3]
